#source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,l,b,g_mag_abs,g_min_ks,l_star
6215977799518401536,220.64969126265768,1.0166026876540704,-32.34371963291038,0.30166819487907703,7.446168732070267,0.8796844831892678,328.6735091043118,24.912584675552505,5.495058236927708,1.6543939242490495,0.49884672065001673
6165226919761268864,204.4115660226522,0.1852467713705958,-34.30651331217801,0.19170179921224864,7.446905560143465,0.21971305722180348,313.68977853129616,27.598120398007396,3.0588031840202063,0.9979237390939915,4.704019817815871
6229086761261014400,224.08893664815807,0.27745096993599566,-25.3354574676753,0.1971211019344951,7.448345927355049,0.28458685329526057,335.5134385770206,29.518620009359093,5.867679869458378,1.7233802797131368,0.3539308903097834
6007853820476928384,236.7504074051259,0.4207720276356997,-40.90557354207109,0.25510437363785404,7.454952825876974,0.30584084358391084,335.16078729618914,10.728971128433944,5.80681355800337,1.7095894031765901,0.3743389287075533
6102884610465648384,216.1415277673972,0.44172848275233006,-42.59400902868339,0.293243945961362,7.455107677342593,0.3954169001961907,320.6512176684225,17.05083628047523,3.6684203118636596,1.1281502590432027,2.6830100014714207
5894057150140912896,223.04080907597614,0.1523935225526595,-53.344649432971494,0.13465067841644646,7.455772433863379,0.26827684812288033,320.4769384642623,5.364257581618785,3.014425276863392,1.1579620990707937,4.900273336644956
5904246496194818944,221.641697710553,0.27967095015180254,-50.75370588012264,0.12094503912838908,7.458752668803611,0.2316967946138549,320.85005207964826,8.068934656595365,4.90636183156883,1.3640308995191983,0.8579178100607385
6222736703652905728,220.86052038350223,0.42556997052771994,-26.841697508050665,0.16886740967276284,7.46117801730418,0.3685253053586737,331.76056076652895,29.686342626140064,4.064720587564677,1.2856836156774882,1.8625253022586248
6109882246063167744,213.5611982622356,0.26626041624119484,-41.888850334067484,0.2173351170624093,7.461488720918751,0.28698135455947743,319.031533253476,18.37959578030975,2.7549639963826493,1.653836573696335,6.223071886147054
6219929306870503168,216.9365914941504,0.2957698163857895,-30.95329168983875,0.14534700899288353,7.462255579692926,0.25196909772744985,326.17059618937276,27.536115082985155,5.842005897754936,1.8316553923250947,0.36239989004834966
5894299420658490880,219.92427497647043,0.34364382835700513,-54.58441803564999,0.22291224340500457,7.467563296229813,0.28767914713475684,318.28053949813454,5.028938175057297,3.5210282778107462,2.0081338796454737,3.07311707179793
5903588438485865472,226.29753777827443,0.3086500999401296,-47.57604165224539,0.21524375317977126,7.470071069413191,0.2852590983687975,325.0714663902501,9.463804029461947,3.3797948253351553,0.8281707373997236,3.500035797329578
6101527606959762304,221.539014884406,0.7290967730920384,-41.24302361999485,0.15695332889546584,7.471421508657258,0.6870047938356172,325.05774786400445,16.648031740982873,4.26021835264325,1.3332017414639878,1.555618413982197
6013854954943436544,232.00475727235704,0.2880078339551053,-35.587777216622236,0.147969331532701,7.47178523185276,0.3114091064979797,335.4425627764621,17.21459122864652,3.615672640496266,1.2525509269658635,2.816575259337928
6099651462166306816,218.59160707290837,0.45308218277327295,-44.30251418288849,0.30465723885598667,7.4743246096001235,0.3977288582432418,321.6773109070812,14.790670068214357,3.1450589220714704,1.3121989929130997,4.34477056482353
6171352402119926272,206.06516296627026,0.39487767663968365,-33.20101145993045,0.33616397598066344,7.476858940502396,0.44039406234936546,315.4805074019897,28.380335745663444,3.211528604754797,1.5039324433790355,4.086758498681103
6115138392679766272,205.39332332603115,0.6047008842804965,-38.60248757143526,0.27204145014180237,7.479765055078888,0.5518179097127313,313.56748600208624,23.231659109045644,4.477258101583143,1.373818112741299,1.2737587362964211
6114537440856263552,209.06410023341522,0.19581048118178904,-38.66305891790831,0.2757556801335261,7.480654717709118,0.2598970171741061,316.57279077938074,22.485682000449682,1.9535909922008834,1.0658928182736638,13.018292327675406
6097027546386964352,212.39934794235756,0.508435420154618,-44.36711290417037,0.34581771595490146,7.48370915555917,0.47728709905767297,317.3572044975845,16.304393540355633,3.4938216288077584,1.0422367963622108,3.1510969461822476
6116768212510906368,214.79253035509618,0.325796885115092,-39.00754222285565,0.15425253493302987,7.4856638709632195,0.23430885463794232,321.0159821720436,20.76370427118914,5.736047082902447,1.819895396231903,0.3995504123238166
6198115099253734656,223.97179107339204,0.5059871843392265,-39.72906763711291,0.16399874984938184,7.4857735651742425,0.5245512540313885,327.5044673382079,17.131495116284473,3.597255282985815,1.0820717988850994,2.8647603895683202
5890232842545996544,231.53907283098582,0.39417538804958496,-50.355942521253006,0.23327340856687062,7.487452520338224,0.2735572577028032,326.53771670429524,5.287759533046518,5.446648480024164,1.6089784695291058,0.5215921232455651
6269653380206524288,215.03458748859134,0.2776168057648396,-28.04911974605918,0.19283929523259344,7.487490435777825,0.25898331275602365,325.7647846124514,30.85995768892839,1.5757328620855198,0.19405122996747437,18.43729784347047
6199014499765229696,223.87534795530345,0.22581782384821347,-37.16160365377205,0.17705116504492072,7.48902745877314,0.2774733186648344,328.74268673533453,19.41521334116067,1.8434674694426185,0.9003402555361575,14.407991001237232
6008413506258618624,238.0782829558184,0.36361988126214956,-39.51611570073915,0.18622645807008106,7.4912616360196616,0.418111152729305,336.85782789206297,11.156278267901136,2.4660248187730716,0.4852501907094293,8.12045733364868
6004283122107568000,228.53132355705927,0.6730716451593101,-41.06017055871098,0.4172408317214447,7.49495679317107,0.6800337590944012,329.90674688060875,14.219832128226646,4.5492646534818135,1.605419290775778,1.192022779825951
5985142514452917760,239.48418852103816,0.4671580632624052,-45.86745939568942,0.16795603394733097,7.495703845783059,0.3603978940371583,333.50254015096533,5.643122893322974,4.428129530499763,1.3540676247142311,1.3327190455063538
6122754709725863808,213.70507831406192,0.3073763634881896,-34.74736689245891,0.16792054274511986,7.496096397340091,0.2583470032755766,321.76244244332156,25.05700276800383,3.7473950335222668,1.2762190974511007,2.4947808568753516
6095231975178841984,210.04977643552735,0.7133937023990655,-46.768788801510425,0.14224545827089027,7.499448309877737,0.3224798120223778,315.0003030478881,14.485375024459726,5.038231183937089,1.750084496692688,0.7597976443817849
6211370673999196288,228.92939680969232,0.26516403766717206,-29.899773899815187,0.17160948283151517,7.502725926421658,0.2728343317427906,336.7067814738367,23.34869189345462,4.297331833566606,1.2342361488065414,1.5033416263974264
