#source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,l,b
5238808315169471232,164.20552414852878,0.2670408993404074,-65.15586257702553,0.18063332165676643,6.90393945834345,0.32718745549389455,291.26550083614273,-4.913358234648397
6085470132990868224,198.66622371605723,0.27030306768902923,-46.857596690517795,0.19097177876212346,6.9048877485890925,0.27670415924260455,307.055636168799,15.828094322659181
5869314943064898816,205.69655244063304,0.36450910412642995,-59.004421585253866,0.5147641024927955,6.908929321399791,0.7853656006585539,309.51223932043126,3.2097299933768135
6058752137872030208,180.56646227237968,0.25734164605853627,-60.95754656014514,0.1311187797480624,6.913618560745785,0.33069342194815127,296.99762269290227,1.346383287547331
6062903103508804608,202.43230541171042,0.3225186457201932,-56.87883657844628,0.1256465673929444,6.91581505917275,0.2637875271043587,308.1706082528939,5.60292718717992
5347791735915302656,167.09114767280775,0.19825028992362426,-52.86947297321133,0.11631831089693208,6.916525270124136,0.24474930172249024,287.6043001576811,6.907403714090395
6073704533940007552,192.82899720059467,0.39668771635870625,-55.352547616490675,0.30719269172426894,6.916718754466451,0.594166373465395,302.9144394446518,7.519198245021829
5232616277998058752,156.06068476152097,0.20532799202914062,-68.1294928122202,0.22594541909276364,6.920353552332776,0.23012910517708707,289.87238466338,-9.073157573157674
5846965273286001408,209.96199382402233,0.18970497611731083,-69.6351432968446,0.1854370179002648,6.925041769172616,0.24794074029710036,308.85745133183286,-7.554258212548319
5858425276820905600,192.46375309623508,0.24177670324255665,-66.35574304675552,0.2466672038750011,6.925346183537531,0.4136966148517633,302.77291816942255,-3.4844817332346767
5859243966305678976,182.02284284098786,0.17145286517858424,-68.56721695956604,0.25305605345743737,6.926038999981941,0.3088586430694213,298.9706249149606,-6.029495330789844
5859598180854099712,182.40847470983468,0.5171048356487445,-67.45418082845856,0.43828318780800296,6.926520475453955,0.7039073662006001,298.9290367887658,-4.907901683332076
5352962567302037376,162.39578545604417,0.40396828858630596,-55.503205511180724,0.2939022525802317,6.927358704329026,0.548568513105031,286.21546211965557,3.363292461794558
5858357725578934400,191.48252871559424,0.1727274076202218,-66.91085808279846,0.10877871890451996,6.929548683130646,0.3462691423534069,302.390626564186,-4.044896979414591
6073323828038736384,190.203349526221,0.3509599776161753,-55.90506281740099,0.26056023048222093,6.930158268097388,0.6809278738940675,301.4323739593101,6.935749821563685
5232328515193571968,158.09772259032923,0.18711900710704207,-68.97838210649387,0.24073112728662255,6.930357278335549,0.33782932709753727,290.9668891411784,-9.401797943450232
5239992832789331712,168.1516928843842,0.16607045687156385,-65.72455970221357,0.10092075382796731,6.931849333841967,0.2584847206970703,293.00193272398826,-4.776409544294343
5255317310462849152,158.20558399189997,0.3355424700111707,-59.11252681560068,0.2602164907174291,6.932160997022096,0.43982946964610986,285.95796202926647,-0.887298506758059
5344999869736271616,173.22836631309835,0.3738615463098318,-54.650413161552805,0.21762768655676012,6.932229797391785,0.4801828075436542,291.6503564403003,6.492212440969058
5343213300778986368,175.08981628968903,0.30988270560476217,-55.63103541623939,0.19977965924279842,6.932850233872795,0.41473755769384196,292.9585168570868,5.858295945093817
6067363547301705856,201.0357840916462,0.29078351147454123,-53.7931612851532,0.2817438931303801,6.933441123568334,0.36396887140013884,307.8081120344641,8.768656845860916
5241109696086432640,164.3439018579347,0.20802740814148354,-64.27618413222517,0.12543047175460528,6.933634522881997,0.2448109911449764,290.94218817140245,-4.092723557605366
5797803359625119872,214.75790048739154,0.3425828558787987,-71.1612507636847,0.14529246256721312,6.933731138400325,0.38736064080683164,309.94543423079335,-9.492035502402175
