










































































# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Mar 28 10:17:07 2018
#
# COLUMN matchid:        User List Record
# COLUMN name_user:      User Name
# COLUMN ra_user:        User RA
# COLUMN dec_user:       User Dec
# COLUMN dist_user:      Match Distance
# COLUMN sourceid:       Source ID
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN hjdstart:       Start HJD [days]
# COLUMN hjdstop:        End HJD [days]
# COLUMN wasp_mag:       WASP-band [mag]
# COLUMN npts:           Points in Light Curve
# COLUMN tm_statnpts:    Points in Statistics Calculation
# COLUMN tm_median:      Median of Time Series [mag]
# COLUMN tm_stddevwrtmed: Std dev of Time Series wrt median [mag]
# COLUMN tm_range595:    5-95% range of Time Series[mag]
#
loc_rowid,matchid,name_user,ra_user,dec_user,dist_user,sourceid,ra,dec,hjdstart,hjdstop,wasp_mag,npts,tm_statnpts,tm_median,tm_stddevwrtmed,tm_range595
24,39,"224.15411293333386,-28.963846946473836",224.15411,-28.96385,0.00022316,1SWASP J145636.99-285749.0,224.154136,-28.963628,2454159.456840,2454615.532188,11.50716,5714,5714,1.151188e+01,5.865296e-02,6.029000e-02
25,40,"237.17405916241557,-39.54563779382711",237.17406,-39.54564,0.00004508,1SWASP J154841.76-393244.3,237.174003,-39.545650,2453860.390706,2454687.230289,11.08865,8590,8590,1.109120e+01,3.351285e-01,3.878000e-02
26,41,"213.13647617544453,-37.44403960911472",213.13648,-37.44404,0.00018965,1SWASP J141232.78-372637.9,213.136614,-37.443883,2453860.389769,2454688.226493,12.21158,11209,11209,1.220664e+01,1.757851e-01,1.730500e-01
27,44,"210.04622297863295,-39.94980933865673",210.04622,-39.94981,0.00015030,1SWASP J140011.12-395658.9,210.046364,-39.949708,2453860.388449,2454688.226377,12.16341,14354,14354,1.217204e+01,2.435821e-01,7.209000e-02
28,45,"226.2790811525296,-40.183229471002015",226.27908,-40.18323,0.00010500,1SWASP J150506.97-401059.2,226.279081,-40.183125,2453862.257014,2454615.532037,9.11871,3787,3787,9.118937e+00,6.437114e-02,6.120000e-02
29,46,"222.77127638080543,-26.73545443944131",222.77128,-26.73545,0.00022788,1SWASP J145105.06-264407.0,222.771094,-26.735294,2454148.500648,2454615.532164,10.64165,9975,9975,1.071216e+01,1.448943e-01,3.126700e-01
30,47,"225.47489856604017,-46.624381190794516",225.47490,-46.62438,0.00017178,1SWASP J150154.02-463727.4,225.475119,-46.624297,2453862.256713,2454274.374352,11.15494,2203,2203,1.115013e+01,6.874493e-02,1.285600e-01
31,48,"227.92146916463778,-43.23672754167452",227.92147,-43.23673,0.00007070,1SWASP J151141.17-431412.2,227.921567,-43.236728,2453862.256875,2454615.531979,8.94566,2203,2203,8.943697e+00,8.105960e-02,9.016100e-02
32,50,"229.85542228946613,-46.148411671283334",229.85542,-46.14841,0.00014387,1SWASP J151925.34-460854.0,229.855603,-46.148342,2453862.256725,2454274.457106,9.45322,4435,4435,9.458429e+00,8.787748e-02,3.818800e-02
33,52,"230.22138516916144,-44.62121396789245",230.22139,-44.62121,0.00013658,1SWASP J152053.17-443716.1,230.221558,-44.621144,2453862.256794,2454615.531968,9.68871,8453,8453,9.689922e+00,4.740728e-02,5.117100e-02
