# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Mar 19 08:30:36 2018
#
# COLUMN matchid:        User List Record
# COLUMN name_user:      User Name
# COLUMN ra_user:        User RA
# COLUMN dec_user:       User Dec
# COLUMN dist_user:      Match Distance
# COLUMN sourceid:       Source ID
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN hjdstart:       Start HJD [days]
# COLUMN hjdstop:        End HJD [days]
# COLUMN wasp_mag:       WASP-band [mag]
# COLUMN npts:           Points in Light Curve
# COLUMN tm_statnpts:    Points in Statistics Calculation
# COLUMN tm_median:      Median of Time Series [mag]
# COLUMN tm_stddevwrtmed: Std dev of Time Series wrt median [mag]
# COLUMN tm_range595:    5-95% range of Time Series[mag]
#
loc_rowid,matchid,name_user,ra_user,dec_user,dist_user,sourceid,ra,dec,hjdstart,hjdstop,wasp_mag,npts,tm_statnpts,tm_median,tm_stddevwrtmed,tm_range595
24,265,"184.1150312284768,-53.20476490517098",184.11503,-53.20476,0.00023835,1SWASP J121627.69-531216.7,184.115392,-53.204661,2453922.203287,2454662.266053,10.71147,116,116,1.070940e+01,9.949365e-02,9.402000e-02
25,266,"193.59539547157667,-49.717117051796485",193.59540,-49.71712,0.00008038,1SWASP J125422.87-494301.4,193.595294,-49.717078,2453922.203727,2454662.266447,10.39436,100,100,1.039163e+01,6.205947e-02,7.390000e-02
26,328,"186.65189740091552,-49.31847626215109",186.65190,-49.31848,0.00024764,1SWASP J122636.54-491906.7,186.652267,-49.318544,2453922.203287,2454662.266007,10.69356,116,116,1.069485e+01,7.829540e-02,1.240100e-01
27,348,"170.24632451531372,-44.4966523244951",170.24632,-44.49665,0.00018982,1SWASP J112059.17-442947.7,170.246572,-44.496589,2453860.212870,2454662.246227,11.15404,18622,18622,1.115529e+01,5.304384e-02,3.086000e-02
28,349,"185.1045021683629,-52.86534572117183",185.10450,-52.86535,0.00042957,1SWASP J122025.23-525155.9,185.105139,-52.865539,2453922.203322,2454662.266088,11.00440,116,116,1.099865e+01,3.856148e-02,9.601000e-02
29,367,"174.63312732248895,-46.005117775509056",174.63313,-46.00512,0.00027891,1SWASP J113831.91-460017.5,174.632981,-46.004861,2453860.213056,2454662.246563,10.74364,28560,28560,1.072903e+01,6.105453e-02,6.652000e-02
30,376,"172.05145852618995,-46.384491919703386",172.05146,-46.38449,0.00013319,1SWASP J112812.39-462304.1,172.051653,-46.384494,2453860.212917,2454662.246447,10.71303,10897,10897,1.071630e+01,6.147694e-02,2.965000e-02
31,377,"170.23668443744185,-46.85673384937949",170.23668,-46.85673,0.00025802,1SWASP J112056.82-465123.3,170.236761,-46.856478,2453922.202998,2454660.201748,11.07530,103,103,1.100015e+01,4.018850e-01,9.527200e-01
32,384,"194.07159781732653,-52.4087607362667",194.07160,-52.40876,0.00002296,1SWASP J125617.17-522431.4,194.071569,-52.408747,2453922.203819,2454662.266574,9.89479,123,123,9.895701e+00,5.778678e-02,1.391480e-01
33,386,"185.29865997973576,-48.05536909173822",185.29866,-48.05537,0.00012014,1SWASP J122111.71-480319.2,185.298831,-48.055333,2453922.203160,2454662.265868,8.97246,101,101,8.979169e+00,7.533140e-02,9.939100e-02
34,439,"185.85000345775515,-50.69622211420884",185.85000,-50.69622,0.00015341,1SWASP J122324.05-504146.3,185.850242,-50.696214,2453922.203287,2454662.266030,11.30625,116,116,1.130606e+01,4.562240e-02,1.200200e-01
35,440,"187.2421255614417,-48.61321697695362",187.24213,-48.61322,0.00005686,1SWASP J122858.09-483647.4,187.242072,-48.613178,2453922.203299,2454662.266019,10.67163,116,116,1.067578e+01,5.184558e-02,1.382000e-01
