# MIST version number  = 1.1     
# MESA revision number =     7503
# --------------------------------------------------------------------------------------
#  Yinit        Zinit   [Fe/H]   [a/Fe]  v/vcrit                                        
# 0.2703  1.42000E-02     0.00     0.00     0.40
# --------------------------------------------------------------------------------------
# number of isochrones =     1
# --------------------------------------------------------------------------------------
# number of EEPs, cols =   722   25
#   1                               2                               3                               4                               5                               6                               7                               8                               9                              10                              11                              12                              13                              14                              15                              16                              17                              18                              19                              20                              21                              22                              23                              24                              25
# EEP          log10_isochrone_age_yr                    initial_mass                       star_mass                       star_mdot                    he_core_mass                     c_core_mass                           log_L                          log_LH                         log_LHe                        log_Teff                           log_R                           log_g                      surface_h1                     surface_he3                     surface_he4                     surface_c12                     surface_o16                    log_center_T                  log_center_Rho                    center_gamma                       center_h1                      center_he4                      center_c12                           phase
   87         6.6989000000000001E+000         1.0019210183167036E-001         1.0019200978615125E-001        -4.8407395008195128E-015         0.0000000000000000E+000         0.0000000000000000E+000        -1.6644611955107400E+000        -9.0541974377252981E+000        -9.8999999999999986E+001         3.4750464709116060E+000        -2.5964638739646873E-001         3.9581151423957190E+000         7.1539283800082898E-001         6.6324352829619617E-005         2.7025513764608039E-001         2.4965358274887002E-003         6.1088852298629278E-003         6.1497649600367819E+000         6.9521419805062401E-001         3.0331299945005730E-001         7.1539283800082898E-001         2.7025513764608039E-001         2.4965358274887002E-003        -1.0000000000000000E+000
   88         6.6989000000000001E+000         1.0345505255922090E-001         1.0345495702298108E-001        -5.1368467291004261E-015         0.0000000000000000E+000         0.0000000000000000E+000        -1.6495479729763134E+000        -8.9854448831449236E+000        -9.8999999999999986E+001         3.4763289239367952E+000        -2.5475468217963493E-001         3.9598232713041472E+000         7.1539283800074038E-001         6.6324352871235986E-005         2.7025513764612552E-001         2.4965358274890406E-003         6.1088852298637614E-003         6.1562648459767528E+000         6.9266778108478499E-001         2.9883614819609294E-001         7.1539283800074038E-001         2.7025513764612558E-001         2.4965358274890419E-003        -1.0000000000000000E+000
   89         6.6989000000000001E+000         1.0755317068380568E-001         1.0755307069894221E-001        -5.4597620535945171E-015         0.0000000000000000E+000         0.0000000000000000E+000        -1.6307211780952333E+000        -8.8996006543804178E+000        -9.8999999999999986E+001         3.4779495751908684E+000        -2.4858258724723986E-001         3.9619119337337394E+000         7.1539283800061693E-001         6.6324352935697524E-005         2.7025513764618231E-001         2.4965358274894700E-003         6.1088852298648109E-003         6.1644355362424488E+000         6.8941748381358792E-001         2.9319215507759400E-001         7.1539283800061693E-001         2.7025513764618225E-001         2.4965358274894700E-003        -1.0000000000000000E+000
   90         6.6989000000000001E+000         1.1083485064810802E-001         1.1083474702012390E-001        -5.6609432907916711E-015         0.0000000000000000E+000         0.0000000000000000E+000        -1.6156970588625501E+000        -8.8304264669726447E+000        -9.9000000000000000E+001         3.4792536543792756E+000        -2.4367868600771295E-001         3.9636616317751536E+000         7.1539283800051234E-001         6.6324352992950175E-005         2.7025513764622761E-001         2.4965358274898139E-003         6.1088852298656505E-003         6.1710513455529732E+000         6.8694852092238390E-001         2.8864789622707471E-001         7.1539283800051223E-001         2.7025513764622766E-001         2.4965358274898139E-003        -1.0000000000000000E+000
   91         6.6989000000000001E+000         1.1500744212420291E-001         1.1500733381476343E-001        -5.8912784735919251E-015         0.0000000000000000E+000         0.0000000000000000E+000        -1.5965645190711326E+000        -8.7427989955652734E+000        -9.9000000000000000E+001         3.4809146575835079E+000        -2.3743442252046829E-001         3.9658682392522393E+000         7.1539283800036269E-001         6.6324353082243995E-005         2.7025513764628545E-001         2.4965358274902497E-003         6.1088852298667199E-003         6.1794779541354092E+000         6.8380438799034016E-001         2.8285514395788497E-001         7.1539283800036269E-001         2.7025513764628545E-001         2.4965358274902497E-003        -1.0000000000000000E+000
   92         6.6989000000000001E+000         1.1915955917026459E-001         1.1915944612416139E-001        -6.0774104660304537E-015         0.0000000000000000E+000         0.0000000000000000E+000        -1.5775467313600737E+000        -8.6556211316818441E+000        -9.9000000000000000E+001         3.4825681173275851E+000        -2.3123244815309371E-001         3.9680873176749780E+000         7.1539283800019715E-001         6.6324353187875495E-005         2.7025513764634296E-001         2.4965358274906847E-003         6.1088852298677825E-003         6.1879112448260392E+000         6.8072853872114925E-001         2.7706412619924381E-001         7.1539283800019715E-001         2.7025513764634296E-001         2.4965358274906847E-003        -1.0000000000000000E+000
   93         6.6989000000000001E+000         1.2285051010193150E-001         1.2285039281206570E-001        -6.2309477634658450E-015         0.0000000000000000E+000         0.0000000000000000E+000        -1.5606011402227993E+000        -8.5785988831985573E+000        -9.8999999999999986E+001         3.4840380121479826E+000        -2.2569944222525165E-001         3.9700201869377549E+000         7.1539283800002185E-001         6.6324353309885333E-005         2.7025513764639403E-001         2.4965358274910707E-003         6.1088852298687270E-003         6.1954057810263148E+000         6.7795902116395290E-001         2.7190678871227947E-001         7.1539283800002185E-001         2.7025513764639403E-001         2.4965358274910707E-003        -1.0000000000000000E+000
   94         6.6989000000000001E+000         1.2693204548456752E-001         1.2693192339287529E-001        -6.3419257700521603E-015         0.0000000000000000E+000         0.0000000000000000E+000        -1.5419615481471440E+000        -8.4930085087678080E+000        -9.8999999999999986E+001         3.4856568781689488E+000        -2.1961737822935579E-001         3.9722305099791670E+000         7.1539283799982190E-001         6.6324353451067538E-005         2.7025513764645043E-001         2.4965358274914979E-003         6.1088852298697705E-003         6.2037833981901320E+000         6.7503195924776427E-001         2.6616426409579180E-001         7.1539283799982190E-001         2.7025513764645043E-001         2.4965358274914979E-003        -1.0000000000000000E+000
   95         6.6989000000000001E+000         1.3101692032132947E-001         1.3101679334606695E-001        -6.4201244044313574E-015         0.0000000000000000E+000         0.0000000000000000E+000        -1.5233362145948723E+000        -8.4074764439393110E+000        -9.8999999999999986E+001         3.4872698820214789E+000        -2.1353071915828029E-001         3.9744434038972578E+000         7.1539283799960551E-001         6.6324353608516882E-005         2.7025513764650699E-001         2.4965358274919251E-003         6.1088852298708165E-003         6.2122109231255296E+000         6.7212095787820503E-001         2.6038502304666467E-001         7.1539283799960562E-001         2.7025513764650699E-001         2.4965358274919251E-003        -1.0000000000000000E+000
   96         6.6989000000000001E+000         1.3479565211657046E-001         1.3479552052721941E-001        -6.4496318231767558E-015         0.0000000000000000E+000         0.0000000000000000E+000        -1.5062101121116709E+000        -8.3282230812543023E+000        -9.8999999999999986E+001         3.4887428746041422E+000        -2.0791365308200710E-001         3.9765173018164810E+000         7.1539283799941977E-001         6.6324353739800795E-005         2.7025513764655940E-001         2.4965358274923206E-003         6.1088852298717836E-003         6.2200724084360228E+000         6.6948037265988924E-001         2.5499730360622180E-001         7.1539283799941977E-001         2.7025513764655928E-001         2.4965358274923206E-003        -1.0000000000000000E+000
