# MIST version number  = 1.1     
# MESA revision number =     7503
# --------------------------------------------------------------------------------------
#  Yinit        Zinit   [Fe/H]   [a/Fe]  v/vcrit                                        
# 0.2703  1.42000E-02     0.00     0.00     0.40
# --------------------------------------------------------------------------------------
# number of isochrones =     1
# --------------------------------------------------------------------------------------
# number of EEPs, cols =   675   25
#   1                               2                               3                               4                               5                               6                               7                               8                               9                              10                              11                              12                              13                              14                              15                              16                              17                              18                              19                              20                              21                              22                              23                              24                              25
# EEP          log10_isochrone_age_yr                    initial_mass                       star_mass                       star_mdot                    he_core_mass                     c_core_mass                           log_L                          log_LH                         log_LHe                        log_Teff                           log_R                           log_g                      surface_h1                     surface_he3                     surface_he4                     surface_c12                     surface_o16                    log_center_T                  log_center_Rho                    center_gamma                       center_h1                      center_he4                      center_c12                           phase
  134         7.6989000000000001E+000         1.0018506056184193E-001         1.0018491774763842E-001        -4.3311684835561959E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.3561867814688746E+000        -5.1725018903066164E+000        -9.2232194583771772E+001         3.4801382302625452E+000        -6.1569269907741320E-001         4.6701827475077193E+000         7.1539281902376894E-001         6.6342984583375248E-005         2.7025514040853288E-001         2.4965358274887002E-003         6.1088852298629174E-003         6.4654475045930182E+000         1.7407014151436426E+000         3.2712987443251917E-001         7.1539281902376484E-001         2.7025514040853410E-001         2.4965358274886998E-003        -1.0000000000000000E+000
  135         7.6989000000000001E+000         1.0361704907679567E-001         1.0361690123820243E-001        -4.6004328702376110E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.3402956371727863E+000        -5.1112808952295721E+000        -9.1695651406067768E+001         3.4810772695353513E+000        -6.0962520547498100E-001         4.6701346222893809E+000         7.1539281642301911E-001         6.6345495362761555E-005         2.7025514112794641E-001         2.4965358274890589E-003         6.1088852298637961E-003         6.4720247164540767E+000         1.7354565379456037E+000         3.2184394888866075E-001         7.1539281642301467E-001         2.7025514112794791E-001         2.4965358274890597E-003        -1.0000000000000000E+000
  136         7.6989000000000001E+000         1.0787466570659143E-001         1.0787451158568018E-001        -4.9078041459706216E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.3204569218638538E+000        -5.0394710168980286E+000        -9.1036749152696459E+001         3.4822320956849211E+000        -6.0201550011965566E-001         4.6699097911360399E+000         7.1539281257438236E-001         6.6349206391988608E-005         2.7025514222837810E-001         2.4965358274895064E-003         6.1088852298648881E-003         6.4801633078044603E+000         1.7286613941148306E+000         3.1521955509495664E-001         7.1539281257437692E-001         2.7025514222837987E-001         2.4965358274895055E-003        -1.0000000000000000E+000
  137         7.6989000000000001E+000         1.1141700384832272E-001         1.1141684440931861E-001        -5.1121560800755454E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.3038223617821387E+000        -4.9822654561282294E+000        -9.0487836581788940E+001         3.4831955560431189E+000        -5.9562514079519291E-001         4.6696045666303956E+000         7.1539280934238370E-001         6.6352312472649282E-005         2.7025514323535876E-001         2.4965358274898750E-003         6.1088852298657919E-003         6.4870012678328859E+000         1.7227714702395571E+000         3.0957828337725629E-001         7.1539280934237792E-001         2.7025514323536082E-001         2.4965358274898759E-003        -1.0000000000000000E+000
  138         7.6989000000000001E+000         1.1556206784090911E-001         1.1556190215443489E-001        -5.3479444302415956E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.2843247270201283E+000        -4.9220506722438166E+000        -8.9849103532400790E+001         3.4843220454378265E+000        -5.8812930220360415E-001         4.6692110784260477E+000         7.1539280465793242E-001         6.6356836986747962E-005         2.7025514451443527E-001         2.4965358274903087E-003         6.1088852298668526E-003         6.4949963392220571E+000         1.7158060441666323E+000         3.0295913302354271E-001         7.1539280465792587E-001         2.7025514451443750E-001         2.4965358274903087E-003        -1.0000000000000000E+000
  139         7.6989000000000001E+000         1.2001410617871099E-001         1.2001393367241768E-001        -5.5503009147508070E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.2631887184822088E+000        -4.8646524238958877E+000        -8.9162397500400374E+001         3.4855431752019990E+000        -5.8000355746298859E-001         4.6686388878337404E+000         7.1539279949418599E-001         6.6361833980236944E-005         2.7025514584800703E-001         2.4965358274907745E-003         6.1088852298679924E-003         6.5036638868643069E+000         1.7080509889271829E+000         2.9569349831161834E-001         7.1539279949417867E-001         2.7025514584800919E-001         2.4965358274907749E-003        -1.0000000000000000E+000
  140         7.6989000000000001E+000         1.2338589558790049E-001         1.2338571785737759E-001        -5.6812265388243670E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.2470554336839990E+000        -4.8272217579663481E+000        -8.8642549026631741E+001         3.4864788680836920E+000        -5.7380830082726897E-001         4.6681232260485688E+000         7.1539279535213074E-001         6.6365861536469436E-005         2.7025514676365786E-001         2.4965358274911275E-003         6.1088852298688563E-003         6.5102693172642896E+000         1.7020397485347587E+000         2.9010973431820702E-001         7.1539279535212252E-001         2.7025514676366003E-001         2.4965358274911279E-003        -1.0000000000000000E+000
  141         7.6989000000000001E+000         1.2790767781065532E-001         1.2790749299420545E-001        -5.8292269378986885E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.2252820374466422E+000        -4.7843637725579562E+000        -8.7945054529741242E+001         3.4877423202164572E+000        -5.6544850697412097E-001         4.6673285630507637E+000         7.1539278957519914E-001         6.6371512966237242E-005         2.7025514776721427E-001         2.4965358274916007E-003         6.1088852298700124E-003         6.5191917413279921E+000         1.6938120917503663E+000         2.8250915736060811E-001         7.1539278957518992E-001         2.7025514776721582E-001         2.4965358274916007E-003        -1.0000000000000000E+000
  142         7.6989000000000001E+000         1.3245796020170705E-001         1.3245776816209640E-001        -5.9497473306149060E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.2032212210881879E+000        -4.7447127846714423E+000        -8.7241371354998918E+001         3.4890252534143533E+000        -5.5698396519068738E-001         4.6664247768307314E+000         7.1539278366247017E-001         6.6377341013289267E-005         2.7025514844420523E-001         2.4965358274920760E-003         6.1088852298711782E-003         6.5282629570850830E+000         1.6853750806015853E+000         2.7472374695110091E-001         7.1539278366246006E-001         2.7025514844420623E-001         2.4965358274920764E-003        -1.0000000000000000E+000
  143         7.6989000000000001E+000         1.3589448933972040E-001         1.3589429178313284E-001        -6.0230727437139256E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.1863907566289034E+000        -4.7111409617898756E+000        -8.6707471010441992E+001         3.4900221968516969E+000        -5.5056261983573196E-001         4.6656849396693474E+000         7.1539277927267575E-001         6.6381694965028478E-005         2.7025514873059758E-001         2.4965358274924364E-003         6.1088852298720568E-003         6.5351915679888473E+000         1.6789297022938243E+000         2.6874729335699848E-001         7.1539277927266454E-001         2.7025514873059814E-001         2.4965358274924364E-003        -1.0000000000000000E+000
