# MIST version number  = 1.1     
# MESA revision number =     7503
# --------------------------------------------------------------------------------------
#  Yinit        Zinit   [Fe/H]   [a/Fe]  v/vcrit                                        
# 0.2703  1.42000E-02     0.00     0.00     0.40
# --------------------------------------------------------------------------------------
# number of isochrones =     1
# --------------------------------------------------------------------------------------
# number of EEPs, cols =  1531   25
#   1                               2                               3                               4                               5                               6                               7                               8                               9                              10                              11                              12                              13                              14                              15                              16                              17                              18                              19                              20                              21                              22                              23                              24                              25
# EEP          log10_isochrone_age_yr                    initial_mass                       star_mass                       star_mdot                    he_core_mass                     c_core_mass                           log_L                          log_LH                         log_LHe                        log_Teff                           log_R                           log_g                      surface_h1                     surface_he3                     surface_he4                     surface_c12                     surface_o16                    log_center_T                  log_center_Rho                    center_gamma                       center_h1                      center_he4                      center_c12                           phase
  180         8.6989000000000001E+000         1.0021431773936093E-001         1.0021412726815174E-001        -5.4103176936103121E-017         0.0000000000000000E+000         0.0000000000000000E+000        -2.9830499053540565E+000        -3.0471824817611788E+000        -7.5206636131577923E+001         3.4611720115562474E+000        -8.9119182360740956E-001         5.2212838288865138E+000         7.1533129313265065E-001         1.2786780754404868E-004         2.7025514893211511E-001         2.4965358272924349E-003         6.1088852298629955E-003         6.6538893285978560E+000         2.5666039074526394E+000         3.9964171271375909E-001         7.1533129313210475E-001         2.7025514893211505E-001         2.4965358272924349E-003        -1.0000000000000000E+000
  181         8.6989000000000001E+000         1.0460304210658523E-001         1.0460284271407880E-001        -6.1015301623737915E-017         0.0000000000000000E+000         0.0000000000000000E+000        -2.9475750939860692E+000        -3.0036379533202089E+000        -7.4641081485194334E+001         3.4640682626060939E+000        -8.7924692002310878E-001         5.2128503381193028E+000         7.1532589184370265E-001         1.3326908951013657E-004         2.7025514893903718E-001         2.4965358265983399E-003         6.1088852298641508E-003         6.6628838008525362E+000         2.5471778922439894E+000         3.8814173745125646E-001         7.1532589184311257E-001         2.7025514893903718E-001         2.4965358265983408E-003        -1.0000000000000000E+000
  182         8.6989000000000001E+000         1.0992516323177766E-001         1.0992495274313600E-001        -6.9119317118152238E-017         0.0000000000000000E+000         0.0000000000000000E+000        -2.9041983090054817E+000        -2.9503926360596142E+000        -7.3947455259150161E+001         3.4676400687475186E+000        -8.6470213981566391E-001         5.2025043532751889E+000         7.1531880899598888E-001         1.4035192042636402E-004         2.7025514895569946E-001         2.4965358251433974E-003         6.1088852298655386E-003         6.6739467835734780E+000         2.5234425100268552E+000         3.7395954568261036E-001         7.1531880899534017E-001         2.7025514895569930E-001         2.4965358251433957E-003        -1.0000000000000000E+000
  183         8.6989000000000001E+000         1.1518387422491158E-001         1.1518365258192077E-001        -7.7127960179641272E-017         0.0000000000000000E+000         0.0000000000000000E+000        -2.8607986747306615E+000        -2.8988721055380591E+000        -7.3267983332772403E+001         3.4712021955294046E+000        -8.5012657624202626E-001         5.1918734819782673E+000         7.1531109805801485E-001         1.4806283537871962E-004         2.7025514897856912E-001         2.4965358233344712E-003         6.1088852298669455E-003         6.6848333400921121E+000         2.4993720340955696E+000         3.5978781674945381E-001         7.1531109805730908E-001         2.7025514897856917E-001         2.4965358233344712E-003        -1.0000000000000000E+000
  184         8.6989000000000001E+000         1.1664315771224294E-001         1.1664293275046556E-001        -7.9127079988693872E-017         0.0000000000000000E+000         0.0000000000000000E+000        -2.8488493357503093E+000        -2.8835714687175988E+000        -7.3069821538131492E+001         3.4722065171848318E+000        -8.4616055006270463E-001         5.1890807695870951E+000         7.1530887534683085E-001         1.5028552649325123E-004         2.7025514899852737E-001         2.4965358220479256E-003         6.1088852298673288E-003         6.6880018921977387E+000         2.4929270243063888E+000         3.5576676045408351E-001         7.1530887534610565E-001         2.7025514899852737E-001         2.4965358220479252E-003        -1.0000000000000000E+000
  185         8.6989000000000001E+000         1.2282648983024083E-001         1.2282625125709697E-001        -8.8407396144394171E-017         0.0000000000000000E+000         0.0000000000000000E+000        -2.7972611147478221E+000        -2.8237806230705544E+000        -7.2272855200953700E+001         3.4764308056273450E+000        -8.2881501644648625E-001         5.1761663107446809E+000         7.1529867501695177E-001         1.6048579986524707E-004         2.7025514905473069E-001         2.4965358185054885E-003         6.1088852298689456E-003         6.7008279760782363E+000         2.4639954126035688E+000         3.3886130956254445E-001         7.1529867501615740E-001         2.7025514905473075E-001         2.4965358185054885E-003        -1.0000000000000000E+000
  186         8.6989000000000001E+000         1.2932937773019385E-001         1.2932912437601413E-001        -9.8118491252191831E-017         0.0000000000000000E+000         0.0000000000000000E+000        -2.7425153534187747E+000        -2.7619205449153985E+000        -7.1439795362784380E+001         3.4808953573425097E+000        -8.1037123921229226E-001         5.1621807833311548E+000         7.1528676859445350E-001         1.7239212768632110E-004         2.7025514914893300E-001         2.4965358134295991E-003         6.1088852298706387E-003         6.7142848745706445E+000         2.4329590504904339E+000         3.2091221169075451E-001         7.1528676859358598E-001         2.7025514914893295E-001         2.4965358134295982E-003        -1.0000000000000000E+000
  187         8.6989000000000001E+000         1.3363550205403063E-001         1.3363523828766963E-001        -1.0439812676090273E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.7060958683679868E+000        -2.7210552899228233E+000        -7.0886714684844989E+001         3.4838590497244293E+000        -7.9808888145073931E-001         5.1527814797618170E+000         7.1527805096483354E-001         1.8110962507472724E-004         2.7025514928070260E-001         2.4965358077239028E-003         6.1088852298720152E-003         6.7232416538021118E+000         2.4121925384973926E+000         3.0890181986186882E-001         7.1527805096391639E-001         2.7025514928070260E-001         2.4965358077239028E-003        -1.0000000000000000E+000
  188         8.6989000000000001E+000         1.3616016711687473E-001         1.3615989763968231E-001        -1.0830218019241599E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.6845585571143649E+000        -2.6980142385502397E+000        -7.0570760823743768E+001         3.4856003590347595E+000        -7.9080284444458904E-001         5.1471008314812643E+000         7.1527286311429705E-001         1.8629744799383838E-004         2.7025514930814332E-001         2.4965358062267870E-003         6.1088852298726952E-003         6.7283696018867820E+000         2.3997662031581264E+000         3.0191568393007734E-001         7.1527286311335347E-001         2.7025514930814332E-001         2.4965358062267870E-003        -1.0000000000000000E+000
  189         8.6989000000000001E+000         1.4339064427628570E-001         1.4339035701811984E-001        -1.1912216056672794E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.6235509339547836E+000        -2.6323460919606574E+000        -6.9670758773374445E+001         3.4905087299273467E+000        -7.7011577464997027E-001         5.1309827223085165E+000         7.1525674018695296E-001         2.0242008093917328E-004         2.7025514960168179E-001         2.4965357948076978E-003         6.1088852298748272E-003         6.7430084983138228E+000         2.3644739771218055E+000         2.8204210424140030E-001         7.1525674018592955E-001         2.7025514960168190E-001         2.4965357948076982E-003        -1.0000000000000000E+000
