# source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,l,b,g_mag_abs,g_min_ks,pmra,pmra_error,pmdec,pmdec_error
6023641742302711808,247.127182186848643,0.677121235749952,-35.091954868567917,0.495902720362751,6.766610488033440,0.803351899961462,345.248071415932259,9.388984190151506,12.808243216863630,1.785387039184570,-10.879231391231876,1.577736124465859,-5.470508156211801,1.120298714714441
6016800001138805760,236.090485801216317,0.051302697585869,-30.200818602310065,0.026018882104036,6.766688317746133,0.053292689449260,341.786638598026684,19.332776375771598,2.904979351799069,0.786098480224609,-16.035119284815703,0.088916886847735,-23.329565586638221,0.055781115829789
6028007387580961792,252.985754778152511,0.664154440791649,-30.780836842470006,0.360225779079270,6.766752472600819,0.829373653772752,351.801336664007010,8.481825965860398,12.740232674073937,3.423331260681152,-6.805978008655449,1.244781348473077,7.593819456436473,0.692786126993425
6046163249427248128,250.079467067893376,0.657789738103209,-26.679227284154603,0.424372805194258,6.767120911338473,0.690997166207658,353.390386160282389,13.050957949290016,13.457468213589351,3.727448463439941,2.609145918730960,1.455731761383379,-0.171681490114225,0.920583537924240
6038680488694198272,243.547297756070321,0.077458211849631,-29.247142428265313,0.040273676108372,6.767171994082584,0.084327457498022,347.434942268556824,15.615788647449589,10.242602708277527,4.248566627502441,-11.144887074742662,0.190685271843696,-22.325743004765123,0.131181632642337
6050383415578946560,243.660229809173444,0.057098189860587,-23.360465427994804,0.027221174308051,6.767233245720557,0.062950921366909,351.976686751542616,19.607640138790536,8.607454287254129,3.867398262023926,-10.955163497340472,0.115718928394861,-24.687171096834206,0.081969287512457
6022045526301904896,246.928685090726759,1.293541696639896,-35.912598844558744,0.643208058443714,6.768018355568031,1.277699250943655,344.528793591605961,8.947006458711563,14.354126105607833,4.728818893432617,-6.892030009395701,2.658978136192642,-0.258539320484357,1.624648605418911
6245100087262001152,245.420053963556768,0.614296830997714,-19.763817177592582,0.284860116582842,6.768092934561923,0.626960230662758,355.993453599280485,20.792535201380229,14.004506326360826,5.586174964904785,-11.677189979651434,1.582721782720473,-21.591217470099100,0.899313443005276
6048839392012119040,244.551826817565455,0.063396776306448,-25.273148342042951,0.031782537385162,6.768190552634325,0.067306261776843,351.081431668725770,17.710523117133103,9.678452555243645,4.253089904785156,-19.996780765747083,0.155749631357128,6.164295064901827,0.102659071303550
6238941688279446528,231.774675509658010,0.028720257765002,-24.639176640119718,0.018890699295223,6.768452882001958,0.032246719660522,342.396352514789726,26.061065495000758,7.661796872779153,2.848349571228027,-14.734185002107553,0.051962136633625,-22.176672905938887,0.040820126735527
6044282083817835520,247.633801688225446,0.976755590469652,-28.144198902802930,0.591988679568739,6.768459312512301,1.195964006916286,350.793745941092766,13.742791030818047,14.120422821939389,4.633974075317383,-0.777131143267979,1.964103918564312,2.550396182449056,1.339139203083810
6226398940669221888,228.445169085996923,0.172946421764094,-26.094673876025503,0.116574264465328,6.768604160328362,0.182344358224156,338.736187731757582,26.707527998053401,11.935788353125073,4.056292533874512,-21.542510858889074,0.354348954330354,-20.599356161376885,0.267126494842052
6039561644184852480,239.070291769100976,0.093237155035122,-31.395329161867323,0.052467516427651,6.768626941848445,0.093583652530062,342.985122601697526,16.748372400961632,8.703962203828333,3.435459136962891,-9.004532634223803,0.229606260287696,-26.292212016137434,0.140142800532378
6044062765614564352,247.711932937173913,0.452843253410556,-28.653919224807520,0.302982215227879,6.768890941922427,0.478875777347382,350.448367576030137,13.353177341116689,12.966720275170047,3.792132377624512,-3.134873361853311,1.058828502517549,-6.613821594779172,0.698792364713195
6249112892393980928,240.947660250538604,0.146392693205018,-18.149106103068718,0.062810971149919,6.769015803164885,0.168538692034654,354.225699558476151,25.017050448744371,11.049974136664495,4.700346946716309,-9.150330623285592,0.351868823580938,-21.143268309877925,0.141229080126407
6050053008032086016,244.762958020642714,0.031889128297533,-24.135888204792753,0.016093710430744,6.769103949018596,0.036872509322987,352.097716432048401,18.339985930786252,7.595539408241542,3.827883720397949,-6.485124039638860,0.090468327904913,-26.733857684290438,0.049099330911767
6237348702090266624,239.154907556111311,0.116153866732906,-23.124851627430342,0.056573892334638,6.769278288645046,0.122253723677617,349.054472887133500,22.733070455021043,10.753381703551423,4.210669517517090,8.855397141140925,0.233498953516736,-24.114449753559779,0.154825721947419
6267567404789785600,237.944509216961080,0.167886617008981,-11.788583034469712,0.100982587147742,6.769404198909235,0.187331978591688,357.294277888674230,31.464507708407858,11.947458576868748,4.102705955505371,-30.935812840495252,0.339970589692300,-14.501356604061419,0.285669618751896
6250854999849246720,241.176086606102075,0.271190044356410,-15.164569158650494,0.123024346586715,6.769834117395368,0.290098136110238,356.839404247480331,26.869716814439901,11.915396621038504,3.932506561279297,7.391768849422421,0.590274494084713,3.848101401136187,0.258837867842938
4111927540883566592,256.609732081031154,0.721339564798017,-26.563104374653378,0.526237146405019,6.769844988309504,0.882091018291066,357.140977829022063,8.520856575268569,13.029783805468448,2.983890533447266,-3.201139111593716,1.337671927755420,-2.374058529378943,0.841936500726249
4125798090520785920,252.766287259662477,1.688830014697776,-22.739718979515075,0.990931733415140,6.770062069635030,1.961420140099208,358.118000047592488,13.609425306946557,14.604423136766776,5.207459449768066,-25.442429498757679,2.529291346650025,-19.141455634894111,1.525589962118977
6048819252907810816,244.979863456297153,0.393774223487966,-25.225947735744807,0.191796398928125,6.770079408543935,0.472315254839749,351.393295327498322,17.458086462928932,13.402028490631128,5.131059646606445,-36.917769981381909,1.036609832900510,-13.977409469057484,0.592980162880763
6242822277131230208,243.707835079696991,0.059417964162233,-21.659073785446342,0.026743498192685,6.770212456827518,0.064580180065800,353.340737865166432,20.728930800496183,8.180163549186553,3.919152259826660,-7.494813338515316,0.117583046061737,-25.331561455701792,0.079724660044344
6014629457808056320,235.916359168592265,0.729029392704381,-35.193381000318873,0.402983237714107,6.770343908317493,0.969478141271650,338.327582747618862,15.582542241776478,13.824196227083291,4.431142807006836,-9.189362000312732,1.659829328888513,4.223621085426664,1.007788013754913
6253317321777299456,233.832566194719448,0.042472593034942,-21.120472335475906,0.030515430989140,6.770507362576055,0.045695014412252,346.552642163133896,27.549401419230293,8.838435510748710,3.815329551696777,-16.711952571228302,0.094188898385231,-19.795859899548091,0.067454214189733
