# source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,l,b,g_mag_abs,bp_rp,pmra,pmra_error,pmdec,pmdec_error, phot_bp_mean_mag, phot_rp_mean_mag, phot_g_mean_mag, astrometric_n_good_obs_al,  astrometric_chi2_al, phot_bp_mean_flux_over_error, phot_rp_mean_flux_over_error, phot_bp_rp_excess_factor
5890462060659686400,231.313858904505025,0.335369068925121,-50.069511705176417,0.184649965506783,8.090819724526449,0.283208739657405,326.577882432897241,5.605902758424439,12.648818823945028,1.641546249389648,-22.637691667596691,1.300571990282382,-19.110906839654650,0.615872249488104,18.794279098510742,17.152732849121094,18.108856201171875,77.000000000000000,103.445693969726562,85.556808471679688,68.139770507812500,1.417690157890320
6093013508613349376,216.990119303776424,0.096002933273017,-46.367479940044731,0.124225064729802,8.092056832732794,0.147146467238427,319.783782060393548,13.321944156829302,11.496141407892246,3.468843460083008,-24.703425315158366,0.332541902638220,-24.026030396127069,0.250412159693727,19.007524490356445,15.538681030273438,16.955846786499023,316.000000000000000,640.379150390625000,24.916656494140625,265.981018066406250,1.682204008102417
6003756460341230592,228.286998035402718,0.044300812872515,-42.910986549323795,0.037579408157353,8.092970182149266,0.053021792350062,328.735780633357820,12.749467068118269,10.145450551899568,2.491049766540527,-3.737088667493937,0.105105109344132,-22.740873244187114,0.090141812775601,16.954862594604492,14.463812828063965,15.604910850524902,237.000000000000000,421.896118164062500,182.299835205078125,784.658142089843750,1.430058717727661
6119008128157708288,216.963165772486576,0.077450919531981,-36.021593809593504,0.094120572763286,8.094658555568852,0.117661407430034,323.941613982795047,22.885839349617239,10.783573085343292,2.632394790649414,-1.120174368039333,0.227832777062493,-38.874586792419805,0.312319975907697,17.700578689575195,15.068183898925781,16.242580413818359,96.000000000000000,135.310882568359375,110.035675048828125,426.683105468750000,1.447982072830200
6211094559143445504,229.483689923337522,0.050677469524892,-30.478295039132941,0.035675367355689,8.095128977803817,0.061810743183794,336.773304189946941,22.600038146545959,3.337060216130762,0.587033271789551,-21.069584642909646,0.108759592800615,-28.425181386510751,0.101128374953345,9.033927917480469,8.446894645690918,8.795941352844238,124.000000000000000,241.927246093750000,780.381530761718750,565.141662597656250,1.176407098770142
6218281967879532544,223.288996448770320,0.031088909182951,-29.434801572345183,0.026310419411072,8.095374051997329,0.042180122263552,332.427218859197012,26.375401483996921,7.813351807863626,1.805418014526367,-17.309886118399657,0.070242195342978,1.726610164486805,0.059177602433632,14.157883644104004,12.352465629577637,13.272167205810547,116.000000000000000,163.922576904296875,552.341491699218750,1513.055786132812500,1.318089365959167
6201805610034903040,221.686506582669523,0.484884305143147,-36.964628531473110,0.255304885457187,8.098225307182307,0.581557162343825,327.203987368892058,20.413494632156397,12.817738538131699,1.934959411621094,-11.879214891184127,0.606119763953108,-5.389989800280262,0.526604405535523,19.147367477416992,17.212408065795898,18.275789260864258,86.000000000000000,143.915008544921875,38.000545501708984,74.958160400390625,1.462954044342041
5988904841412950016,235.709329681270475,0.028624671857852,-44.784885926300930,0.017407146922505,8.098536381180606,0.037085079989571,332.116475278635448,8.157155022211645,8.762651889255874,2.103352546691895,-6.743347940439014,0.057589493919331,13.567891724308026,0.044528779459178,15.300297737121582,13.196945190429688,14.220619201660156,265.000000000000000,288.217468261718750,458.767639160156250,808.374633789062500,1.364913225173950
6090150307312000000,210.338120482950075,0.133615677967275,-51.522819001657076,0.115353210060334,8.098674611462062,0.152284298989996,313.866012325044210,9.858537796574268,11.769778567695351,3.765264511108398,-28.005696796178466,0.364553087259883,-24.224876376466067,0.231326323224497,19.557168960571289,15.791904449462891,17.227708816528320,150.000000000000000,271.855712890625000,16.741102218627930,207.184951782226562,1.684400558471680
6224436346777034752,225.441497951445712,0.048330569217796,-28.074993875112177,0.035641279650057,8.099114746781153,0.062789998265363,335.017523702720325,26.556696114540628,9.065176079470152,2.121604919433594,-19.425968027357765,0.121509758719150,-40.314336300328911,0.076828214113747,15.593719482421875,13.472114562988281,14.522988319396973,112.000000000000000,174.041442871093750,41.197814941406250,55.589225769042969,1.394901990890503
6216495673792505856,217.359667397268225,0.181330951784024,-32.391086573733567,0.143245130485692,8.099121147138368,0.204708239519012,325.877760822519463,26.077149263927733,12.588358757092955,3.205488204956055,-50.074446130578920,0.362131824196613,9.866517963129112,0.296566254031985,19.953397750854492,16.747909545898438,18.046169281005859,143.000000000000000,181.948684692382812,16.343471527099609,194.973449707031250,1.534963846206665
5902476424241203200,228.023732326306259,0.052273448323550,-48.858571486418420,0.050104978612449,8.099376175909939,0.088663850697690,325.415995938827962,7.775182202548073,6.354583328911154,1.217931747436523,-30.466701420262503,0.224877671707968,-11.740859986887545,0.202373982727124,12.361313819885254,11.143382072448730,11.812325477600098,177.000000000000000,206.115722656250000,1032.263671875000000,1436.955200195312500,1.231053709983826
5897948910222158848,218.320809959551411,0.076728917195407,-51.936402615009015,0.078849329637032,8.101496142387809,0.097510074388557,318.450492640634479,7.840054031320377,11.302765341440889,3.611534118652344,-24.821004021993112,0.192383599023626,-23.685562692095381,0.182141962605578,19.001832962036133,15.390298843383789,16.759939193725586,172.000000000000000,251.360488891601562,39.424358367919922,213.936721801757812,1.597096562385559
5991141729134401536,242.053267415435130,0.072482582502740,-44.850131921474748,0.029337810109252,8.104411581458384,0.084395918312521,335.537159216209886,5.206736607575238,10.910308568596005,2.904381752014160,-35.031261002313450,0.183594701401291,-23.501829100247882,0.116142015683155,17.995183944702148,15.090802192687988,16.366701126098633,451.000000000000000,764.802062988281250,64.020248413085938,309.456512451171875,1.543301105499268
6117378102169312256,211.606722611765576,0.109926383841082,-38.645958474619000,0.087424180786490,8.104641246751351,0.122771885618630,318.631471467055633,21.928888841542832,10.965025178646329,3.544770240783691,-29.219308813728361,0.191999259107582,-23.523396111259316,0.181651515326384,18.583580017089844,15.038809776306152,16.421356201171875,132.000000000000000,372.860015869140625,59.307540893554688,242.872665405273438,1.622164487838745
5900237990363571200,224.628004017664949,0.031154003662581,-51.838123725976025,0.028631792433734,8.106659289923520,0.042024306616948,322.034447196148392,6.257591902199657,2.630648736141470,0.461529731750488,-35.413216358623913,0.084642280658419,-33.054951809877849,0.082049907995038,8.272448539733887,7.810918807983398,8.086439132690430,292.000000000000000,671.780639648437500,796.661132812500000,869.221191406250000,1.166811704635620
